Nr.crt,Temperature_from_Humidity,Temperature_from_Pressure,CPU_Temperature,Humidity,Pressure
1.,25.07,23.58,36.86,31.17,987.21
2.,25.04,24.02,36.32,30.45,987.21
3.,25.08,24.05,36.32,31.23,987.21
4.,25.04,24.09,36.32,30.98,987.22
5.,25.19,24.55,35.78,30.72,987.2
6.,25.07,24.19,36.32,30.74,987.19
7.,25.13,23.83,36.86,30.98,987.21
8.,25.19,24.15,36.32,31.16,987.19
9.,25.11,24.14,36.32,30.35,987.18
10.,25.08,23.71,36.86,31.01,987.15
11.,25.08,24.38,35.78,31.15,987.15
12.,25.13,24.04,36.32,30.82,987.2
13.,24.99,24.0,36.32,30.75,987.14
14.,25.07,23.95,36.32,30.97,987.16
15.,24.99,24.3,35.78,30.81,987.14
16.,25.07,24.3,35.78,31.1,987.14
17.,25.04,24.3,35.78,31.3,987.16
18.,24.99,23.92,36.32,31.2,987.17
19.,25.11,24.25,35.78,31.22,987.12
20.,24.92,24.26,35.78,30.98,987.15
21.,24.87,24.25,35.78,31.17,987.15
22.,24.8,24.21,35.78,31.43,987.15
23.,24.95,23.84,36.32,31.18,987.12
24.,24.92,24.18,35.78,30.82,987.16
25.,24.95,24.18,35.78,31.22,987.12
26.,24.95,23.44,36.86,31.1,987.13
27.,24.92,24.15,35.78,31.02,987.13
28.,25.04,23.79,36.32,31.54,987.14
29.,25.01,23.87,36.32,31.37,987.13
30.,24.92,24.3,35.78,31.5,987.12
31.,25.11,24.31,35.78,30.88,987.15
32.,25.04,23.97,36.32,30.85,987.14
33.,25.11,24.41,35.78,30.8,987.13
34.,25.08,24.43,35.78,30.96,987.12
35.,25.04,24.41,35.78,31.15,987.12
36.,25.01,24.05,36.32,31.31,987.12
37.,24.99,23.68,36.86,31.2,987.19
38.,24.96,23.99,36.32,31.23,987.22
39.,24.96,23.61,36.86,31.01,987.15
40.,24.9,23.58,36.86,31.0,987.14
41.,25.01,24.3,35.78,31.45,987.13
42.,25.04,24.28,35.78,30.99,987.11
43.,24.8,23.89,36.32,31.05,987.15
44.,25.04,23.9,36.32,31.43,987.18
45.,25.07,24.26,35.78,31.05,987.12
46.,25.01,23.89,36.32,31.31,987.16
47.,24.95,23.87,36.32,31.29,987.14
48.,24.99,23.87,36.32,31.07,987.11
49.,24.95,23.87,36.32,31.12,987.13
50.,24.99,24.2,35.78,31.01,987.14
51.,25.08,23.84,36.32,30.74,987.18
52.,24.87,23.82,36.32,31.03,987.15
53.,24.84,24.15,35.78,31.13,987.15
54.,24.87,24.13,35.78,31.49,987.14
55.,24.95,23.75,36.32,31.26,987.18
56.,24.75,24.11,35.78,31.17,987.15
57.,24.87,24.1,35.78,31.12,987.18
58.,24.9,24.1,35.78,31.18,987.14
59.,24.78,23.74,36.32,31.32,987.11
60.,24.9,23.74,36.32,31.52,987.14
61.,24.87,24.11,35.78,31.35,987.11
62.,24.84,23.72,36.32,31.41,987.11
63.,24.92,23.72,36.32,30.32,987.13
64.,24.92,23.7,36.32,31.7,987.15
65.,24.83,24.08,35.78,31.25,987.15
66.,24.87,23.34,36.86,31.23,987.13
67.,24.84,23.7,36.32,31.25,987.1
68.,24.72,23.69,36.32,31.34,987.15
69.,24.9,23.72,36.32,31.06,987.12
70.,24.9,23.8,36.32,31.08,987.1
71.,25.01,23.85,36.32,31.4,987.1
72.,24.95,24.25,35.78,31.22,987.1
73.,25.07,24.38,35.78,31.47,987.17
74.,25.11,24.45,35.78,31.45,987.15
75.,25.19,24.46,35.78,30.98,987.1
76.,25.19,24.09,36.32,31.56,987.14
77.,25.11,24.19,36.32,30.94,987.11
78.,25.22,23.93,36.86,31.09,987.12
79.,25.22,24.29,36.32,31.25,987.12
80.,25.3,24.3,36.32,31.25,987.1
81.,25.32,24.29,36.32,31.28,987.11
82.,25.28,24.61,35.78,30.84,987.13
83.,25.25,24.22,36.32,31.26,987.09
84.,25.16,24.2,36.32,31.27,987.13
85.,25.2,24.55,35.78,30.91,987.17
86.,25.22,24.12,36.32,31.12,987.11
87.,25.11,24.12,36.32,30.92,987.1
88.,25.22,23.73,36.86,31.23,987.1
89.,25.08,24.07,36.32,31.01,987.12
90.,25.04,24.4,35.78,30.97,987.13
91.,25.13,23.66,36.86,31.08,987.1
